CapsuleID,KJRating,Repurchase?
1,3,yes
2,0,no
3,5,yes
4,5,yes
5,5,yes
6,5,yes
7,5,yes
8,2,no
9,2,no
10,4,yes
11,5,yes
12,NULL,
13,2,no
14,5,yes
15,1,no
16,1,no
17,1,no
18,NULL,
19,NULL,
20,NULL,
21,NULL,
22,4,yes
23,2,no
24,5,yes
25,3,yes
26,3,yes
27,5,yes
28,5,yes
29,5,yes
30,4,yes
31,2,no
32,2,no
33,3,yes
34,2,no
35,2,no
36,4,yes
37,4,yes
38,4,yes
39,NULL,
40,2,no
41,NULL,
42,NULL,
43,NULL,
44,NULL,
45,NULL,
46,3,yes
47,3,yes
48,2,no
49,1,no
50,4,yes
51,1,no
52,5,yes
53,5,yes
54,1,no
55,5,yes
56,2,no
57,3,yes
58,5,yes
59,1,no
60,2,no
61,1,no
62,1,no
63,2,no
64,5,yes
65,1,no
66,5,yes
67,5,yes
68,5,yes
69,5,yes
70,5,yes
71,4,yes
72,4,yes
73,4,yes
74,4,yes
75,2,no
76,4,yes
77,4,yes
78,4,yes
79,2,no
80,2,no
81,1,no
82,5,yes
83,1,no
84,5,yes
85,5,yes
86,5,yes
87,4,yes
88,NULL,
89,3,yes
90,NULL,
91,5,yes
92,NULL,
93,NULL,
94,2,no
