CapsuleID,Name,Machine_Type,KJRating
64,"Vienna Linizio",Original,5
91,"Hawaii Kona",Original,5
3,"Sweet Vanilla",Vertuo,5
4,"Golden Caramel",Vertuo,5
5,"Rich Chocolate",Vertuo,5
6,"Bianco Piccolo",Vertuo,5
7,"Bianco Doppio",Vertuo,5
52,Indonesia,Original,5
66,"Stockholm Fortissio",Original,5
67,"Cape Town Envivo",Original,5
11,"Kahawa Ya Congo",Vertuo,5
86,Caramello,Original,5
85,Cioccolatino,Original,5
14,"Costa Rica",Vertuo,5
84,Nocciola,Original,5
82,"Freddo Delicato",Original,5
68,Miami,Original,5
69,Paris,Original,5
58,"Kahawa Ya Congo",Original,5
70,Istanbul,Original,5
29,Altissio,Vertuo,5
28,Diavolitto,Vertuo,5
27,"Il Caffe",Vertuo,5
24,Odacio,Vertuo,5
53,India,Original,5
55,Honduras,Original,5
72,"Genova Livanto",Original,4
22,Intenso,Vertuo,4
50,Nicaragua,Original,4
30,Orafio,Vertuo,4
71,"Rio De Janeiro",Original,4
74,Arpeggio,Original,4
76,"Palermo Kazaar",Original,4
77,Venezia,Original,4
78,Napoli,Original,4
36,Dolce,Vertuo,4
37,Scuro,Vertuo,4
38,Chiaro,Vertuo,4
10,"Ice Leggero",Vertuo,4
87,Vaniglia,Original,4
73,Roma,Original,4
33,"Altissio Decaffeinato",Vertuo,3
57,"Tamuka Mu Zimbabwe",Original,3
26,Solelio,Vertuo,3
1,"Roasted Hazelnut",Vertuo,3
46,"Volluto Decaffeinato",Original,3
47,"Arpeggio Decaffeinato",Original,3
89,"Coconut Flavor Over Ice",Original,3
25,Melozio,Vertuo,3
48,"Ristretto Italiano Decaffeinato",Original,2
94,"Tropical Coconut Flavor Over Ice",Vertuo,2
8,"Bianco Forte",Vertuo,2
9,"Ice Forte",Vertuo,2
13,"Peru Organic",Vertuo,2
80,Scuro,Original,2
56,"Esperanza De Colombia",Original,2
79,Chiaro,Original,2
75,"Ristretto Italiano",Original,2
23,Stormio,Vertuo,2
60,Volluto,Original,2
31,Toccanto,Vertuo,2
32,Voltesso,Vertuo,2
63,Shanghai,Original,2
34,"Melozio Decaffeinato",Vertuo,2
35,"Half Caffeinato",Vertuo,2
40,Fortado,Vertuo,2
51,Colombia,Original,1
65,"Tokyo Vivalto",Original,1
62,"Buenos Aires",Original,1
61,Capriccio,Original,1
59,Cosi,Original,1
17,Colombia,Vertuo,1
81,Corto,Original,1
16,Ethiopia,Vertuo,1
83,"Freddo Intenso",Original,1
15,Mexico,Vertuo,1
54,"Peru Organic",Original,1
49,Ethiopia,Original,1
2,"Whiskey Essence",Vertuo,0
41,"Fortado Decaffeinato",Vertuo,NULL
39,Inizio,Vertuo,NULL
20,"Pour-Over Style Mild",Vertuo,NULL
42,Arondio,Vertuo,NULL
19,"Alto Onice",Vertuo,NULL
18,"Alto Ambrato",Vertuo,NULL
43,"Vivida Boost",Vertuo,NULL
44,"Melozio Boost",Vertuo,NULL
12,"El Salvador",Vertuo,NULL
45,"Stormio Boost",Vertuo,NULL
88,"Filter Style Mild",Original,NULL
90,"Filter Style Intense",Original,NULL
92,"Starbucks Reserve Remix",Vertuo,NULL
93,"Juicy Watermelon Flavor Over Ice",Vertuo,NULL
21,"Pour-Over Style",Vertuo,NULL
